MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,LotFrontage_isnull,MasVnrArea_isnull,GarageYrBlt_isnull,hasPoolArea,has2ndFlrSF,hasGarageArea,hasTotalBsmtSF,hasFireplaces,Id,SalePrice
90,3,75.0,10125,1,0,1,1,1,0,9,2,1,2,1,5,5,32,32,0,0,7,7,1,0.0,1,3,2,0,1,0,0,0,0,0,0,0,2,2,1,3,1302,432,0,1734,0,0,2,0,4,2,2,8,4,0,0,4,32.0,1,2,539,3,3,2,0,0,0,0,0,0,0,8,2009,0,3,0,0,0,0,1,1,0,0,985,126000
20,3,100.0,13350,1,1,1,1,1,0,6,2,1,3,3,5,5,32,32,1,0,5,7,1,0.0,1,3,2,2,3,1,4,762,4,0,102,864,2,2,1,3,894,0,0,894,1,0,1,0,3,1,1,5,4,1,2,4,32.0,1,2,440,3,3,2,241,0,0,0,0,0,0,6,2006,2,3,0,0,0,0,0,1,1,1,778,142500
120,3,48.0,6240,1,0,1,1,1,0,22,2,1,4,3,8,5,3,3,1,0,4,3,2,176.0,2,3,4,3,3,1,6,863,4,0,461,1324,2,4,1,3,1324,0,0,1324,1,0,2,0,2,1,2,6,4,1,4,4,3.0,3,2,550,3,3,2,192,38,0,0,0,0,0,12,2009,2,3,0,0,0,0,0,1,1,1,708,254000
20,3,80.0,12984,1,0,0,1,1,0,17,2,1,3,3,5,6,29,29,0,0,7,7,2,459.0,1,3,2,3,3,2,4,1283,3,147,0,1430,2,4,1,3,1647,0,0,1647,1,0,2,0,3,1,2,7,4,1,3,4,29.0,3,2,621,3,3,2,0,0,0,0,0,0,0,3,2006,2,3,0,0,0,0,0,1,1,1,599,217500
50,1,52.0,5720,1,0,1,1,1,0,3,0,1,3,1,5,6,68,59,0,0,3,2,1,0.0,1,3,2,2,3,1,5,0,4,0,676,676,2,4,1,3,676,455,0,1131,0,0,1,1,3,1,1,5,4,0,0,2,68.0,1,1,200,3,3,2,26,0,0,0,0,0,0,8,2009,2,0,0,0,0,0,1,1,1,0,875,66500
20,3,73.0,8925,1,1,3,1,1,0,18,2,1,3,3,8,5,2,2,0,0,9,8,1,0.0,2,3,4,3,3,3,6,16,4,0,1450,1466,2,4,1,3,1466,0,0,1466,0,0,2,0,3,1,2,7,4,0,0,4,2.0,3,3,610,3,3,2,100,18,0,0,0,0,0,7,2009,2,3,0,0,0,0,0,1,1,0,931,201000
20,3,66.0,12400,1,1,1,1,1,0,8,1,1,3,3,6,7,51,11,1,0,3,2,2,176.0,1,3,2,2,2,1,3,585,4,0,630,1215,2,2,1,2,1215,0,0,1215,0,0,1,0,3,1,1,6,4,0,0,4,51.0,1,1,297,3,3,2,0,0,0,0,234,0,0,6,2009,2,3,0,0,0,0,0,1,1,0,340,155000
50,0,60.0,7500,1,0,1,1,1,0,2,2,1,3,1,4,4,90,60,0,0,4,3,1,0.0,1,2,2,2,3,1,5,0,4,0,698,698,2,2,1,2,698,430,0,1128,0,0,1,0,2,1,1,6,4,0,0,2,30.0,2,2,528,3,3,2,30,0,164,0,0,0,0,4,2010,0,0,0,0,0,0,1,1,1,0,1280,68400
30,3,60.0,10800,1,0,1,1,1,0,3,2,1,3,3,4,6,80,0,0,0,3,2,1,0.0,1,3,1,2,3,1,5,0,4,0,656,656,2,2,1,3,968,0,0,968,0,0,2,0,4,1,1,5,4,0,0,2,79.0,1,1,216,1,1,2,0,0,0,0,0,0,0,8,2007,2,3,0,0,0,0,0,1,1,0,1433,64500
60,3,70.0,9130,1,0,1,1,1,0,14,1,1,3,5,6,8,42,8,1,0,5,6,2,252.0,1,3,2,2,3,1,6,400,2,64,336,800,2,3,1,3,800,832,0,1632,0,1,1,1,4,1,2,7,4,0,0,4,42.0,1,2,484,3,3,2,0,40,0,0,0,0,0,7,2008,2,3,1,0,0,0,1,1,1,0,1042,173000
50,0,66.0,8712,1,0,3,1,1,1,2,2,1,3,1,4,7,110,60,0,0,4,3,1,0.0,1,3,3,2,3,2,5,0,4,0,859,859,2,3,1,3,859,319,0,1178,0,0,1,0,2,1,1,7,4,0,0,2,46.0,2,1,384,3,3,0,68,0,98,0,0,0,0,1,2010,2,0,0,0,0,0,1,1,1,0,712,102776
20,3,60.0,11100,1,0,2,1,1,0,5,2,1,3,3,4,7,64,4,0,0,4,3,1,0.0,1,3,2,0,1,0,0,0,0,0,0,0,2,4,1,3,930,0,0,930,0,0,1,0,2,1,2,6,4,0,0,2,64.0,1,1,308,3,3,2,0,0,0,0,0,0,0,4,2010,2,0,0,0,0,0,0,1,0,0,1050,84900
60,3,70.0,7685,1,1,1,1,1,0,13,2,1,3,5,6,5,13,12,0,0,5,6,2,112.0,1,3,4,3,3,1,4,518,4,0,179,697,2,3,1,3,697,804,0,1501,0,0,2,1,3,1,2,6,4,1,3,4,13.0,3,2,420,3,3,2,190,63,0,0,0,0,0,5,2006,2,3,1,0,0,0,1,1,1,1,311,165600
20,3,60.0,7332,1,0,1,1,1,0,8,2,1,3,3,6,6,47,47,0,0,2,1,2,207.0,1,3,2,2,3,1,2,414,4,0,450,864,2,4,1,3,864,0,0,864,1,0,1,0,2,1,2,4,4,0,0,4,47.0,1,1,288,3,3,2,168,0,0,0,0,0,0,10,2006,2,0,0,0,0,0,0,1,1,0,572,120000
20,3,70.0,17140,1,0,1,1,1,0,5,2,1,3,3,4,6,53,53,0,0,9,8,1,0.0,1,3,2,2,3,1,4,1059,4,0,75,1134,2,4,1,2,1229,0,0,1229,0,0,1,0,3,1,1,6,4,0,0,4,53.0,2,1,284,3,3,2,0,0,0,0,0,0,0,4,2009,2,3,1,0,0,0,0,1,1,0,918,135000
60,3,80.0,10041,1,1,1,1,1,0,11,2,1,3,5,8,5,14,14,0,0,5,6,1,0.0,2,3,4,3,3,2,6,789,4,0,119,908,2,4,1,3,927,988,0,1915,1,0,2,1,3,1,2,8,4,1,3,4,14.0,3,2,506,3,3,2,120,150,0,0,0,0,0,2,2006,2,0,0,0,0,0,1,1,1,1,603,220000
70,3,60.0,8730,1,0,1,1,1,0,4,3,1,3,5,6,7,92,4,0,0,3,2,1,0.0,1,3,1,2,3,1,5,0,4,0,698,698,2,4,1,2,698,698,0,1396,0,0,1,0,3,1,1,7,4,0,0,2,4.0,1,1,384,3,3,2,0,0,0,0,259,0,0,7,2007,2,3,0,0,0,0,1,1,1,0,290,153575
20,3,64.0,6762,1,0,1,1,1,0,15,2,1,3,3,7,5,0,0,0,0,9,8,2,108.0,2,3,4,3,3,1,6,664,4,0,544,1208,2,4,1,3,1208,0,0,1208,1,0,2,0,2,1,2,6,4,0,0,4,0.0,2,2,628,3,3,2,105,54,0,0,0,0,0,9,2007,3,4,0,0,0,0,0,1,1,0,429,195400
85,3,73.0,9069,1,0,1,1,1,0,11,2,1,3,2,6,6,18,18,0,0,5,6,1,0.0,1,3,4,3,3,3,6,747,4,0,189,936,2,4,1,3,996,0,0,996,1,0,1,0,2,1,2,5,4,0,0,4,18.0,1,2,564,3,3,2,120,0,0,0,0,0,0,4,2010,2,3,0,0,0,0,0,1,1,0,1086,147000
60,3,70.0,14364,1,1,2,1,1,1,11,2,1,3,5,7,5,19,18,0,0,7,7,2,128.0,2,3,2,3,3,4,6,1065,4,0,92,1157,2,4,1,3,1180,882,0,2062,1,0,2,1,3,1,1,7,4,1,4,4,19.0,3,2,454,3,3,2,60,55,0,0,154,0,0,4,2007,2,3,1,0,0,0,1,1,1,1,209,277000
120,3,50.0,8012,1,0,1,1,1,0,11,2,1,4,3,6,5,30,30,0,0,7,7,1,0.0,1,3,2,3,3,1,2,543,1,119,261,923,2,2,1,3,923,0,0,923,0,0,2,0,2,1,1,5,4,1,3,4,30.0,2,1,264,3,3,2,80,0,0,0,0,0,0,5,2010,2,3,0,0,0,0,0,1,1,1,681,143000
30,1,60.0,8520,1,0,1,1,1,0,3,2,1,3,3,6,8,82,7,0,0,9,8,1,0.0,1,2,1,2,3,1,5,0,4,0,624,624,2,3,1,3,720,0,0,720,0,0,1,0,2,1,1,5,4,0,0,2,5.0,1,2,484,3,3,2,106,0,0,0,0,0,0,5,2010,2,3,0,0,0,0,0,1,1,0,354,105900
80,3,96.0,11275,1,0,1,1,0,0,8,5,1,3,4,7,7,43,3,2,1,3,2,2,300.0,2,2,2,3,3,1,5,0,4,0,710,710,2,4,1,3,1898,1080,0,2978,0,0,2,1,5,1,2,11,4,1,4,5,49.0,3,2,564,3,3,2,240,0,0,0,0,0,0,6,2010,2,3,0,0,0,0,1,1,1,1,325,242000
60,3,70.0,9453,1,1,1,1,3,0,11,4,1,3,5,7,7,17,7,0,0,5,6,1,0.0,2,3,4,3,3,1,2,402,4,0,594,996,2,4,1,3,1014,730,0,1744,0,0,2,1,3,1,2,7,4,0,0,4,17.0,2,2,457,3,3,2,370,70,0,238,0,0,0,2,2010,2,3,1,0,0,0,1,1,1,0,238,194500
60,3,66.0,13682,1,3,3,1,3,0,20,2,1,3,5,10,5,0,0,1,0,9,8,2,1031.0,3,3,4,4,3,4,5,0,4,0,1410,1410,2,4,1,3,1426,1519,0,2945,0,0,3,1,3,1,2,10,4,1,4,5,0.0,3,3,641,3,3,2,192,0,37,0,0,0,0,10,2006,3,4,0,0,0,0,1,1,1,1,59,438780
60,3,76.0,9120,1,0,1,1,1,0,14,2,1,3,5,6,6,34,34,1,0,5,6,2,270.0,2,3,2,2,3,1,4,442,4,0,459,901,2,2,1,3,943,933,0,1876,0,0,2,1,4,1,2,8,4,1,3,4,34.0,2,2,540,4,3,2,0,69,0,0,0,0,0,7,2008,2,3,0,0,0,0,1,1,1,1,1160,185000
190,3,70.0,7000,1,0,1,1,1,0,5,2,1,0,5,5,7,98,17,0,0,4,3,1,0.0,1,3,2,3,3,4,6,969,4,0,148,1117,2,2,1,3,820,527,0,1347,1,0,1,0,3,1,1,5,4,0,0,0,28.0,0,0,0,0,0,0,85,0,148,0,0,0,0,1,2008,2,3,0,0,1,0,1,0,1,0,536,107500
80,3,101.0,9150,1,1,1,1,0,0,8,2,1,3,4,6,5,46,46,0,1,7,7,2,305.0,1,3,2,3,3,4,6,371,4,0,728,1099,2,3,1,3,1431,0,0,1431,0,1,1,0,3,1,1,6,4,1,4,3,46.0,2,1,296,3,3,2,64,110,0,0,0,0,0,12,2008,2,3,0,0,0,0,0,1,1,1,368,165000
20,3,54.0,13811,1,1,1,1,1,0,18,2,1,3,3,6,6,19,19,0,0,5,6,2,72.0,1,3,2,3,4,1,6,980,3,40,92,1112,2,3,1,3,1137,0,0,1137,1,0,2,0,2,1,2,5,4,1,3,4,19.0,1,2,551,3,3,2,125,0,0,0,0,0,0,7,2006,2,3,0,0,0,0,0,1,1,1,696,176000
120,1,44.0,4224,1,0,1,1,1,0,0,2,1,4,3,5,7,31,31,0,0,10,10,1,0.0,1,3,4,3,3,1,6,840,4,0,200,1040,2,2,1,3,1060,0,0,1060,1,0,1,0,3,1,1,6,4,1,3,4,31.0,1,2,572,3,3,2,100,110,0,0,0,0,0,6,2007,2,3,0,0,0,0,0,1,1,1,24,129900
20,1,50.0,6000,1,0,1,1,1,0,3,2,1,3,3,5,5,60,58,0,0,9,8,1,0.0,1,3,2,2,3,1,4,104,1,169,516,789,2,4,1,3,789,0,0,789,0,0,1,0,2,1,1,5,4,0,0,2,60.0,1,1,250,3,3,2,0,0,0,0,0,0,0,4,2008,2,4,0,0,0,0,0,1,1,0,108,115000
60,3,60.0,21930,1,2,1,1,1,0,13,3,1,3,5,5,5,1,1,0,0,9,8,1,0.0,2,3,4,3,4,3,5,0,4,0,732,732,2,4,1,3,734,1104,0,1838,0,0,2,1,4,1,1,7,4,1,4,5,1.0,3,2,372,3,3,2,100,40,0,0,0,0,0,7,2006,2,3,0,0,0,0,1,1,1,1,1431,192140
80,3,70.0,10784,1,1,1,1,2,0,13,2,1,3,4,7,5,16,15,0,0,5,6,2,76.0,2,3,4,3,3,1,5,0,4,0,384,384,2,3,1,3,802,670,0,1472,0,0,2,1,3,1,2,7,4,1,3,4,16.0,2,2,402,3,3,2,164,0,0,0,0,0,0,5,2007,2,3,1,0,0,0,1,1,1,1,1019,160000
50,3,70.0,9144,1,0,1,1,1,0,4,2,1,3,1,5,5,68,26,0,0,4,3,1,0.0,1,3,2,2,3,1,3,399,4,0,484,883,2,3,1,3,988,517,0,1505,1,0,1,0,3,1,1,8,4,0,0,2,68.0,1,1,240,3,3,0,0,0,0,0,0,0,0,7,2008,2,3,1,0,0,0,1,1,1,0,362,145000
30,3,60.0,5400,1,0,1,1,0,0,3,2,1,3,3,5,6,87,57,0,0,3,2,1,0.0,1,3,1,1,3,1,5,0,4,0,691,691,2,4,1,2,691,0,0,691,0,0,1,0,2,1,3,4,4,0,0,2,87.0,1,1,216,1,3,0,0,20,94,0,0,0,0,1,2007,2,0,0,0,0,0,0,1,1,0,1002,86000
